number,group,zero_based_index,name_from_exe,vmt_or_probe_va,baseline_status,current_status,implementation_stage,classes,file_types
781,archive,780,YSB_FT,0073a668,missing,missing,baseline_inventory,,
782,archive,781,DCL_FT,0052c7e0,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
783,archive,782,Binder_FT,00709ab8,missing,missing,baseline_inventory,,
784,archive,783,CyberArticle_FT,0070a628,missing,missing,baseline_inventory,,
785,archive,784,NeatNotes_FT,0070b818,missing,missing,baseline_inventory,,
786,archive,785,OutlookMail_FT,007203d8,missing,missing,baseline_inventory,,
787,archive,786,COMPOUND_FT,005676b8,verified_subset,verified_subset,baseline_inventory,XCFBF,FT_CFBF
788,archive,787,DUKENUKEM_GRP_FT,006435a8,implemented_unverified,implemented_unverified,baseline_inventory,XGRP,FT_BUILD_GRP
789,archive,788,CHASM_BIN_FT,00643a68,missing,missing,baseline_inventory,,
790,archive,789,DEMONSTAR_GLB_FT,00643f48,missing,missing,baseline_inventory,,
791,archive,790,VOLITION_VP_FT,00644408,missing,missing,baseline_inventory,,
792,archive,791,MLB_FT,00644a38,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_MLB_ARCHIVE
793,archive,792,DEBUG_SCR_FT,00644ea8,missing,missing,baseline_inventory,,
794,archive,793,NOD32_FT,006458d8,missing,missing,baseline_inventory,,
795,archive,794,KLQB_FT,00645e68,missing,missing,baseline_inventory,,
796,archive,795,Rising_FT,00646808,missing,missing,baseline_inventory,,
797,archive,796,MOF_FT,00646ce8,missing,missing,baseline_inventory,,
798,archive,797,TopSpeed_FT,0064cd68,missing,missing,baseline_inventory,,
799,archive,798,Wolf_FT,00669648,implemented_unverified,implemented_unverified,baseline_inventory,XWolfVSwap,FT_WOLF_VSWAP
800,archive,799,EMSI_FT,0067eb38,missing,missing,baseline_inventory,,
801,archive,800,Stunts_FT,00699858,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_STUNTS_DSI
802,archive,801,Drive_FT,006a0768,missing,missing,baseline_inventory,,
803,archive,802,ResourceFork_FT,006a4f58,implemented_unverified,implemented_unverified,baseline_inventory,XResourceFork,FT_RESOURCE_FORK
804,archive,803,Shtirlitz_FT,006d4048,missing,missing,baseline_inventory,,
805,archive,804,ConsultantPlus_FT,006d5b98,missing,missing,baseline_inventory,,
806,archive,805,BattleIsle_FT,006f1048,missing,missing,baseline_inventory,,
807,archive,806,BattleIsle4_FT,006f1e38,missing,missing,baseline_inventory,,
808,archive,807,Settlers_FT,00701688,missing,missing,baseline_inventory,,
809,archive,808,INTEDU_FT,0072f688,missing,missing,baseline_inventory,,
810,archive,809,Maxon_XML_FT,00733cf8,missing,missing,baseline_inventory,,
811,sfx,0,SFX RAR,004b58c8,partial,partial,baseline_inventory,XRarSFX;XSFX;XRar,FT_RARSFX;FT_PE32_WINRARSFX
812,sfx,1,SFX ZIP,004dfd08,partial,partial,baseline_inventory,XZipSFX;XSFX;XZip,FT_ZIPSFX
813,sfx,2,SFX CAB,004cb058,implemented_unverified,implemented_unverified,baseline_inventory,XCabSFX;XSFX;XCab,FT_CABSFX
814,sfx,3,SFX SZDD,00766318,implemented_unverified,implemented_unverified,baseline_inventory,XSzddSFX;XSFX,FT_SZDDSFX
815,sfx,4,SFX KWAJ,004f0728,implemented_unverified,implemented_unverified,baseline_inventory,XKwajSFX;XSFX,FT_KWAJSFX
816,sfx,5,SFX ARJ,004f90f8,implemented_unverified,implemented_unverified,baseline_inventory,XArjSFX;XSFX,FT_ARJSFX
817,sfx,6,SFX LHA,004f6368,implemented_unverified,implemented_unverified,baseline_inventory,XLhaSFX;XSFX,FT_LHASFX
818,sfx,7,SFX IS3,004c70c8,partial,partial,baseline_inventory,XIS3SFXArchive,FT_INSTALLSHIELD3_SFX
819,sfx,8,SFX IMP,004a4fc8,missing,missing,baseline_inventory,,
820,sfx,9,SFX GZIP,0045e838,implemented_unverified,implemented_unverified,baseline_inventory,XGzipSFX;XSFX;XGzip,FT_GZIPSFX
821,sfx,10,SFX BSA,0051d228,missing,missing,baseline_inventory,,
822,sfx,11,SFX BSN,0051da58,missing,missing,baseline_inventory,,
823,sfx,12,SFX NSK,0051fea8,missing,missing,baseline_inventory,,
824,sfx,13,SFX SBX,005210a8,missing,missing,baseline_inventory,,
825,sfx,14,SFX ESP,00534668,missing,missing,baseline_inventory,,
826,sfx,15,SFX ASD,00535bc8,missing,missing,baseline_inventory,,
827,sfx,16,SFX CrossePAC,00537758,missing,missing,baseline_inventory,,
828,sfx,17,SFX Asymetrix,00555098,missing,missing,baseline_inventory,,
829,sfx,18,SFX ARCV2,004ee5b8,missing,missing,baseline_inventory,,
830,sfx,19,SFX SPIS,00501c48,implemented_unverified,implemented_unverified,baseline_inventory,XSpisSFX;XSPIS,FT_SPISSFX
831,sfx,20,SFX IS3,0073adc8,partial,partial,baseline_inventory,XIS3SFXArchive,FT_INSTALLSHIELD3_SFX
832,sfx,21,SFX SetupFactory,0073b368,missing,missing,baseline_inventory,,
833,sfx,22,SFX PCInstall,0073dba8,missing,missing,baseline_inventory,,
834,sfx,23,SFX PackageForTheWeb,0073e198,missing,missing,baseline_inventory,,
835,sfx,24,SFX YoDudeStartHere,0073e978,missing,missing,baseline_inventory,,
836,sfx,25,SFX GPInstall,0073ee38,partial,partial,baseline_inventory,XLegacyStoreArchive,FT_GPINSTALL_SFX
837,sfx,26,SFX InstallUs,0073f238,missing,missing,baseline_inventory,,
838,sfx,27,SFX SFXFactory,0073f6b8,missing,missing,baseline_inventory,,
839,sfx,28,SFX Wise,0073fba8,partial,partial,baseline_inventory,XWiseSFXArchive,FT_WISE_SFX
840,sfx,29,SFX ZTV,00740888,missing,missing,baseline_inventory,,
841,sfx,30,SFX PowerArchiver,00740bf8,missing,missing,baseline_inventory,,
842,sfx,31,SFX PowerArchiver,00741018,missing,missing,baseline_inventory,,
843,sfx,32,SFX WinRar,007414d8,partial,partial,baseline_inventory,XRarSFX;XSFX;XRar,FT_RARSFX;FT_PE32_WINRARSFX
844,sfx,33,SFX RSFX,007416f8,missing,missing,baseline_inventory,,
845,sfx,34,SFX INFTool,00741918,missing,missing,baseline_inventory,,
846,sfx,35,SFX Vise,00742808,partial,partial,baseline_inventory,XLegacyStoreArchive,FT_VISE_SFX
847,sfx,36,SFX FFS,00747be8,missing,missing,baseline_inventory,,
848,sfx,37,SFX KRZIP,00748288,missing,missing,baseline_inventory,,
849,sfx,38,SFX KRZIP Bundle,007491b8,missing,missing,baseline_inventory,,
850,sfx,39,SFX SetupSpecialist,00749af8,missing,missing,baseline_inventory,,
851,sfx,40,SFX ARNI,0074a518,missing,missing,baseline_inventory,,
852,sfx,41,SFX IS2,0074aad8,missing,missing,baseline_inventory,,
853,sfx,42,SFX WinImage,0074b578,missing,missing,baseline_inventory,,
854,sfx,43,SFX PIMP,0074b968,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_PIMP_SFX
855,sfx,44,SFX GhostInstaller,006515b8,missing,missing,baseline_inventory,,
856,sfx,45,SFX ARQ,0074c078,implemented_unverified,implemented_unverified,baseline_inventory,XArqSFX;XSFX;XARQ,FT_ARQSFX
857,sfx,46,SFX ZeroG,0074c2f8,missing,missing,baseline_inventory,,
858,sfx,47,SFX KUP,0074c9d8,missing,missing,baseline_inventory,,
859,sfx,48,SFX Lingvo,0074d2a8,missing,missing,baseline_inventory,,
